rank,name,small_img_url_works,big_img_url_might work
"
1
","
Post Malone
",https://charts-static.billboard.com/img/2015/10/post-malone-1vw-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
2
","
Ariana Grande
",https://charts-static.billboard.com/img/2011/02/ariana-grande-ypy-artist-chart-xj0-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
3
","
Billie Eilish
",https://charts-static.billboard.com/img/2017/05/billie-eilish-1e3-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
4
","
Khalid
",https://charts-static.billboard.com/img/2016/12/khalid-dsk-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
5
","
Drake
",https://charts-static.billboard.com/img/2009/12/drake-hq6-artist-chart-vz1-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
6
","
Travis Scott
",https://charts-static.billboard.com/img/2015/09/travis-scott-jll-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
7
","
Ed Sheeran
",https://charts-static.billboard.com/img/2012/11/ed-sheeran-buv-artist-chart-914-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
8
","
Taylor Swift
",https://charts-static.billboard.com/img/2006/12/taylor-swift-p7u-artist-chart-ylp-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
9
","
Lil Nas X
",https://charts-static.billboard.com/img/2019/01/lil-nas-x-zl6-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
10
","
Halsey
",https://charts-static.billboard.com/img/2014/10/halsey-so0-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
11
","
Jonas Brothers
",https://charts-static.billboard.com/img/2007/12/jonas-brothers-r3d-artist-chart-i1c-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
12
","
Juice WRLD
",https://charts-static.billboard.com/img/2018/05/juice-wrld-f0a-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
13
","
Cardi B
",https://charts-static.billboard.com/img/2017/03/cardi-b-mts-artist-chart-176-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
14
","
DaBaby
",https://charts-static.billboard.com/img/2018/07/dababy-yo9-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
15
","
BTS
",https://charts-static.billboard.com/img/2015/12/bts-4i5-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
16
","
Panic! At The Disco
",https://charts-static.billboard.com/img/2006/12/panic-at-the-disco-yl6-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
17
","
Luke Combs
",https://charts-static.billboard.com/img/2017/03/luke-combs-y14-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
18
","
Lil Baby
",https://charts-static.billboard.com/img/2017/11/lil-baby-nwx-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
"
19
","
Shawn Mendes
",https://charts-static.billboard.com/img/2014/08/shawn-mendes-2fw-artist-chart-sdl-53x53.jpg,https://charts-static.billboard.com/img/1840/12/luke-bryan-3d2-174x174.jpg
